objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	farmland_250	clearcuts250
1256217	0	0	0	25/05/2018	6:47:00 AM	4157	09/07/2014	forest	clearcut	0	50	0	50	0	0	0	0	100	yes	yes	1.5	forest	forest	forest	forest	1	233.07626	278.54947	367	33078
1256590	0	1	0	21/05/2018	8:38:00 AM	32933	09/07/2014	forest	clearcut	20	20	0	40	10	5	0	5	100	no	yes	1.5	clearcut	clearcut	forest	clearcut	0.25	251.78215	11.28686	92	116852
1256974	0	0	0	25/05/2018	7:10:00 AM	13281	09/07/2014	forest	clearcut	20	5	0	70	0	0	0	5	100	no	no	1.5	forest	clearcut	forest	forest	0.75	541.97526	274.15768	0	18824
1482208	0	0	1	17/05/2018	6:16:00 AM	8000	08/09/2015	forest	clearcut	0	0	5	0	0	75	20	0	100	no	yes	0	forest	forest	forest	open	0.75	39.95268	218.20898	48462	1428
1496317	0	0	0	25/05/2018	6:18:00 AM	19127	09/07/2014	forest	clearcut	15	30	0	40	0	0	10	5	100	yes	yes	1	clearcut	forest	forest	forest	0.75	65.95626	332.96555	55490	30590
1496318	0	0	0	24/05/2018	5:39:00 AM	26159	09/07/2014	forest	clearcut	10	35	0	35	10	0	5	5	100	yes	yes	1.5	forest	forest	clearcut	clearcut	0.5	324.17962	11.68614	0	79147
1496337	0	0	0	05/06/2018	7:27:00 AM	5633	09/07/2014	forest	clearcut	50	10	0	20	0	5	10	5	100	no	no	0.5	forest	forest	forest	forest	1	528.37261	303.46401	0	0
1496703	0	0	0	28/05/2018	8:24:00 AM	16304	09/07/2014	forest	clearcut	10	0	90	0	0	0	0	0	100	no	no	4	forest	clearcut	clearcut	forest	0.5	181.97191	5.0044	3432	70548
1496704	0	0	0	03/06/2018	6:14:00 AM	17981	09/07/2014	forest	clearcut	30	0	10	40	20	0	0	0	100	no	no	2	forest	forest	open	open	0.5	10.79558	116.08515	140864	11104
1496707	0	0	0	25/05/2018	6:59:00 AM	8537	09/07/2014	forest	clearcut	10	0	0	50	40	0	0	0	100	no	yes	1	forest	forest	forest	forest	1	635.92073	386.40969	8240	22568
1496712	0	0	0	05/06/2018	5:53:00 AM	12251	09/07/2014	forest	clearcut	15	5	0	35	35	0	0	10	100	yes	yes	1	clearcut	forest	clearcut	forest	0.5	267.59244	7.5624	0	70472
1496714	0	0	2	29/05/2018	6:52:00 AM	26516	09/07/2014	forest	clearcut	30	0	0	35	20	5	10	0	100	no	yes	0.5	forest	open	clearcut	forest	0.5	990.64287	354.48139	69643	42905
1500100	0	0	0	31/05/2018	7:49:00 AM	22385	08/09/2015	forest	clearcut	60	20	0	15	0	0	0	5	100	no	yes	0.5	forest	forest	forest	forest	1	473.89125	161.86513	0	10854
1500102	0	0	1	31/05/2018	6:32:00 AM	14151	08/09/2015	forest	clearcut	10	30	0	60	0	0	0	0	100	no	yes	1	forest	clearcut	forest	forest	0.75	167.61999	470.01327	12609	36831
1500105	0	2	3	23/05/2018	7:28:00 AM	65727	08/07/2014	forest	clearcut	30	15	0	50	0	5	0	0	100	yes	yes	1.5	forest	forest	forest	forest	1	211.03264	19.41193	4293	66556
1500120	0	1	1	23/05/2018	6:49:00 AM	10562	07/09/2015	forest	clearcut	25	25	0	40	0	5	0	5	100	no	yes	1.5	forest	clearcut	forest	clearcut	0.5	952.1132	15.8138	0	107320
1500126	0	1	0	01/06/2018	5:52:00 AM	14943	07/09/2015	forest	clearcut	20	40	0	40	0	0	0	0	100	no	yes	1.5	forest	clearcut	forest	forest	0.75	159.45312	250.32156	25680	28504
1500127	0	0	0	01/06/2018	5:45:00 AM	3409	07/09/2015	forest	clearcut	10	45	0	30	0	15	0	0	100	no	no	1	forest	clearcut	forest	forest	0.75	72.36697	291.75783	84507	31582
1500128	0	0	0	01/06/2018	6:01:00 AM	15052	07/09/2015	forest	clearcut	40	15	10	20	0	15	0	0	100	yes	yes	1	forest	forest	forest	clearcut	0.75	43.86613	397.59593	59476	21182
1500129	0	0	0	01/06/2018	6:09:00 AM	2830	07/09/2015	forest	clearcut	10	45	0	30	0	10	0	5	100	yes	yes	1	forest	forest	forest	clearcut	0.75	23.02681	435.33933	82947	33404
1500140	0	0	0	28/05/2018	5:42:00 AM	3414	08/09/2015	forest	clearcut	15	30	0	20	25	0	5	5	100	no	yes	1	forest	forest	clearcut	clearcut	0.5	135.9748	13.78323	13489	76805
1500141	0	0	0	28/05/2018	5:42:00 AM	4854	08/09/2015	forest	clearcut	15	30	0	20	25	0	5	5	100	no	yes	2	forest	clearcut	clearcut	forest	0.5	213.62357	115.23207	1311	71005
1500152	0	0	0	21/05/2018	8:58:00 AM	24902	08/09/2015	forest	clearcut	15	0	0	0	80	0	0	5	100	no	yes	0.5	clearcut	forest	forest	clearcut	0.5	215.21357	11.85742	1905	56854
1500534	0	0	1	04/06/2018	6:14:00 AM	52166	08/09/2015	forest	clearcut	30	30	0	15	0	25	0	0	100	no	yes	1	clearcut	forest	forest	forest	0.75	1482.48811	6.60833	0	83104
1500542	0	0	0	23/05/2018	6:22:00 AM	10459	08/09/2015	forest	clearcut	40	0	0	10	30	0	15	5	100	no	yes	0.5	clearcut	forest	forest	forest	0.75	685.10546	40.67166	0	62500
1500553	0	0	0	21/05/2018	5:30:00 AM	26188	08/09/2015	forest	clearcut	60	0	0	30	5	0	0	5	100	yes	yes	0.5	clearcut	clearcut	clearcut	forest	0.25	389.07877	9.12089	2579	99838
1500564	0	0	0	17/05/2018	5:04:00 AM	16342	08/09/2015	forest	clearcut	60	0	0	15	0	5	10	10	100	yes	yes	0.5	forest	forest	forest	forest	1	169.48972	146.04166	9020	21735
1500573	0	1	0	03/06/2018	5:50:00 AM	28461	08/09/2015	forest	clearcut	40	25	0	25	0	5	0	5	100	yes	yes	1.5	forest	forest	forest	clearcut	0.75	139.01593	70.56509	42142	28547
1500907	0	0	0	29/05/2018	7:15:00 AM	4598	08/09/2015	forest	clearcut	70	5	0	20	0	0	0	5	100	yes	yes	0.5	forest	forest	forest	forest	1	521.61952	25.31406	7010	29543
1500919	0	0	0	30/05/2018	6:30:00 AM	8009	08/09/2015	forest	clearcut	40	25	0	25	0	5	5	0	100	yes	yes	1	clearcut	forest	clearcut	forest	0.5	43.32626	303.13664	22565	8679
1500920	0	1	0	30/05/2018	6:23:00 AM	8680	08/09/2015	forest	clearcut	35	20	0	40	0	0	0	5	100	no	yes	1.5	clearcut	forest	forest	forest	0.75	18.01903	260.54547	49688	8008
1500923	0	0	0	18/05/2018	8:44:00 AM	96039	08/09/2015	forest	clearcut	60	10	0	15	0	0	5	10	100	yes	yes	0.5	clearcut	clearcut	forest	clearcut	0.25	76.38641	116.20893	45074	125657
1500944	0	0	0	24/05/2018	5:48:00 AM	12675	08/07/2014	forest	clearcut	25	10	0	35	10	5	5	10	100	yes	yes	1	forest	clearcut	forest	forest	0.75	479.53544	38.68605	0	65015
1500945	0	0	0	16/05/2018	7:45:00 AM	21453	23/08/2015	forest	clearcut	60	0	0	20	10	5	0	5	100	yes	yes	1	forest	forest	forest	open	0.75	10.45617	146.74154	101577	2937
1500972	0	0	0	03/06/2018	7:15:00 AM	14162	08/09/2015	forest	clearcut	20	20	0	40	15	5	0	0	100	yes	yes	1.5	forest	forest	forest	forest	1	214.82173	28.05925	1435	50850
1501309	0	2	0	29/05/2018	7:20:00 AM	21042	08/09/2015	forest	clearcut	70	15	0	5	0	5	0	5	100	yes	yes	1	forest	forest	forest	forest	1	290.9323	17.66349	0	23773
1501315	0	4	1	17/05/2018	7:19:00 AM	59369	08/09/2015	forest	clearcut	40	0	0	30	10	10	0	10	100	yes	yes	1	forest	open	open	open	0.25	11.70753	140.25041	257692	15481
